,Novice Low,Novice Mid,,Novice High,Intermediate Low,Intermediate Mid,,,Intermediate High,Advanced Low,Advanced Mid,Advanced High
,N1,N2,N3,N4,I1,I2,I3,I4,I5,A1,,
INTERPRETIVE COMMUNICATION  - (Listening & Reading – One-way comprehension),,,,,,,,,,,,
Interpretive Listening – Full Spectrum,Recognizes isolated words and memorized phrases with strong contextual support.,"Understands main ideas and isolated details in short, familiar audio texts.",,Follows simple spoken messages beyond rehearsed material with partial comprehension.,Understands sentence-length spoken language on everyday topics.,Understands connected spoken discourse with predictable structure.,,,"Understands most conversations on familiar topics, including narration and description.",Understands paragraph-length spoken discourse across time frames.,Understands detailed spoken texts on personal and public topics.,Understands extended discourse with nuance and detail across contexts.
1st Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
2nd Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
3rd Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
4th Grade,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,,
5th Grade,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,
6th Grade,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,
7th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
8th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
Honors Spanish,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,
Honors Intermediate Spanish,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,
Honors Advanced Spanish,,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,
AP Spanish ,,,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,
"Interpretive Reading – 
Full Spectrum","Identifies familiar words, symbols, and cognates in isolation.","Understands short, simple texts on familiar topics using context and visuals.",,Grasps the gist of short paragraph-length texts when scaffolded.,Understands sentence-level texts across everyday contexts.,Understands connected texts with organization and supporting detail.,,,Understands narrations and descriptions in familiar genres.,Understands paragraph-length texts across time frames.,"Understands detailed, organized texts on personal and public topics.",Understands extended texts with nuance and perspective.
1st Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
2nd Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
3rd Grade,🌿 Target,🌳 Emerging,,,,,,,,,,
4th Grade,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,,
5th Grade,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,,
6th Grade,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,,
7th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
8th Grade,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,,,
Honors Spanish,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,,
Honors Intermediate Spanish,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,,
Honors Advanced Spanish,,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,,
AP Spanish ,,,,,,,,,🌱 Entry,🌿 Target,🌳 Emerging,
INTERPERSONAL COMMUNICATION - (Listening & Speaking – Two-way negotiation of meaning),,,,,,,,,,,,
Interpersonal Oral Interaction – Full Spectrum,"Exchanges meaning using isolated words and memorized phrases, relying heavily on repetition, gestures, and support. Understanding and responses are limited and often fragmented.","Participates in simple, predictable exchanges using short sentences. Understands and responds to direct questions related to self and immediate environment, though interaction is often reactive.",,"Manages uncomplicated conversations by asking and answering simple questions. Begins to recombine language and repair breakdowns, but cannot yet sustain interaction consistently.","Creates with language to handle everyday interactions and transactions. Can initiate, maintain, and close simple conversations across familiar contexts.","Sustains interaction using strings of sentences. Can exchange information, clarify meaning, and maintain conversations on familiar topics with increased independence.",,,"Participates in conversations with emerging narration and description, but performance is not yet consistently paragraph-length.","Sustains paragraph-length interaction, narrating and describing in past, present, and future time frames. Can handle situations with a complication.","Engages confidently in extended conversations with detail, organization, and clarity, interweaving narration and description.","Communicates with ease, precision, and fluency across contexts, adapting language to the interaction and interlocutor."
,"Interpertive Note: As proficiency increases, listening and speaking become more tightly integrated. Growth is visible not just in what students say, but in how they interpret, respond, clarify, and sustain interaction.",,,,,,,,,,,
1st Grade,🌳 Emerging,,,,,,,,,,,
